Date,Close,Sentiment
2016-09-29 00:00:00+00:00,25.87,-31.0
2016-09-30 00:00:00+00:00,26.07,-10.0
2016-10-03 00:00:00+00:00,25.95,-6.0
2016-10-04 00:00:00+00:00,26.06,-7.0
2016-10-05 00:00:00+00:00,26.07,-19.0
2016-10-06 00:00:00+00:00,26.26,-9.0
2016-10-07 00:00:00+00:00,26.3,17.0
2016-10-10 00:00:00+00:00,26.76,59.0
2016-10-11 00:00:00+00:00,26.82,72.0
2016-10-12 00:00:00+00:00,27.06,1.0
2016-10-13 00:00:00+00:00,26.98,-1.0
2016-10-14 00:00:00+00:00,27.13,13.0
2016-10-17 00:00:00+00:00,27.11,-8.0
2016-10-18 00:00:00+00:00,27.09,12.0
2016-10-19 00:00:00+00:00,27.01,-25.0
2016-10-20 00:00:00+00:00,26.99,-15.0
2016-10-21 00:00:00+00:00,26.89,4.0
2016-10-24 00:00:00+00:00,27.13,59.0
2016-10-25 00:00:00+00:00,27.27,-70.0
2016-10-26 00:00:00+00:00,26.65,-80.0
2016-10-27 00:00:00+00:00,26.4,-48.0
2016-10-28 00:00:00+00:00,26.22,-37.0
2016-10-31 00:00:00+00:00,26.18,-13.0
2016-11-01 00:00:00+00:00,25.71,-47.0
2016-11-02 00:00:00+00:00,25.73,-38.0
2016-11-03 00:00:00+00:00,25.46,-38.0
2016-11-04 00:00:00+00:00,25.23,30.0
2016-11-07 00:00:00+00:00,25.59,-5.0
2016-11-08 00:00:00+00:00,25.74,16.0
2016-11-09 00:00:00+00:00,25.7,-18.0
2016-11-10 00:00:00+00:00,24.98,-69.0
2016-11-11 00:00:00+00:00,25.13,2.0
2016-11-14 00:00:00+00:00,24.5,-27.0
2016-11-15 00:00:00+00:00,24.83,14.0
2016-11-16 00:00:00+00:00,25.49,26.0
2016-11-17 00:00:00+00:00,25.48,-5.0
2016-11-18 00:00:00+00:00,25.51,0.0
2016-11-21 00:00:00+00:00,25.9,23.0
2016-11-22 00:00:00+00:00,25.91,-3.0
2016-11-23 00:00:00+00:00,25.78,22.0
2016-11-25 00:00:00+00:00,25.91,2.0
2016-11-28 00:00:00+00:00,25.86,1.0
2016-11-29 00:00:00+00:00,25.83,-8.0
2016-11-30 00:00:00+00:00,25.62,9.0
2016-12-01 00:00:00+00:00,25.38,-11.0
2016-12-02 00:00:00+00:00,25.47,0.0
2016-12-05 00:00:00+00:00,25.29,-2.0
2016-12-06 00:00:00+00:00,25.48,19.0
2016-12-07 00:00:00+00:00,25.73,-1.0
2016-12-08 00:00:00+00:00,25.99,18.0
2016-12-09 00:00:00+00:00,26.41,44.0
2016-12-12 00:00:00+00:00,26.26,-6.0
2016-12-13 00:00:00+00:00,26.7,20.0
2016-12-14 00:00:00+00:00,26.7,18.0
2016-12-15 00:00:00+00:00,26.85,15.0
2016-12-16 00:00:00+00:00,26.88,2.0
2016-12-19 00:00:00+00:00,27.04,21.0
2016-12-20 00:00:00+00:00,27.11,-5.0
2016-12-21 00:00:00+00:00,27.13,-13.0
2016-12-22 00:00:00+00:00,26.95,22.0
2016-12-23 00:00:00+00:00,27.01,-20.0
2016-12-27 00:00:00+00:00,27.18,25.0
2016-12-28 00:00:00+00:00,27.06,9.0
2016-12-29 00:00:00+00:00,27.06,-1.0
2016-12-30 00:00:00+00:00,26.85,-36.0
2017-01-03 00:00:00+00:00,26.92,-18.0
2017-01-04 00:00:00+00:00,26.89,2.0
2017-01-05 00:00:00+00:00,27.03,20.0
2017-01-06 00:00:00+00:00,27.33,16.0
2017-01-09 00:00:00+00:00,27.58,90.0
2017-01-10 00:00:00+00:00,27.61,31.0
2017-01-11 00:00:00+00:00,27.76,31.0
2017-01-12 00:00:00+00:00,27.64,-21.0
2017-01-13 00:00:00+00:00,27.59,-2.0
2017-01-17 00:00:00+00:00,27.81,30.0
2017-01-18 00:00:00+00:00,27.81,12.0
2017-01-19 00:00:00+00:00,27.76,-7.0
2017-01-20 00:00:00+00:00,27.81,4.0
2017-01-23 00:00:00+00:00,27.83,-28.0
2017-01-24 00:00:00+00:00,27.81,-19.0
2017-01-25 00:00:00+00:00,28.25,37.0
2017-01-26 00:00:00+00:00,28.26,11.0
2017-01-27 00:00:00+00:00,28.27,-8.0
2017-01-30 00:00:00+00:00,28.19,-20.0
2017-01-31 00:00:00+00:00,28.13,171.0
2017-02-01 00:00:00+00:00,29.84,224.0
2017-02-02 00:00:00+00:00,29.79,11.0
2017-02-03 00:00:00+00:00,29.92,11.0
2017-02-06 00:00:00+00:00,30.2,27.0
2017-02-07 00:00:00+00:00,30.49,52.0
2017-02-08 00:00:00+00:00,30.6,38.0
2017-02-09 00:00:00+00:00,30.83,9.0
2017-02-10 00:00:00+00:00,30.76,17.0
2017-02-13 00:00:00+00:00,31.03,91.0
2017-02-14 00:00:00+00:00,31.43,92.0
2017-02-15 00:00:00+00:00,31.55,42.0
2017-02-16 00:00:00+00:00,31.51,11.0
2017-02-17 00:00:00+00:00,31.59,3.0
2017-02-21 00:00:00+00:00,31.82,53.0
2017-02-22 00:00:00+00:00,31.92,1.0
2017-02-23 00:00:00+00:00,31.78,-18.0
2017-02-24 00:00:00+00:00,31.81,-13.0
2017-02-27 00:00:00+00:00,31.88,51.0
2017-02-28 00:00:00+00:00,31.89,13.0
2017-03-01 00:00:00+00:00,32.54,83.0
2017-03-02 00:00:00+00:00,32.35,-3.0
2017-03-03 00:00:00+00:00,32.54,-18.0
2017-03-06 00:00:00+00:00,32.44,10.0
2017-03-07 00:00:00+00:00,32.48,-11.0
2017-03-08 00:00:00+00:00,32.36,-18.0
2017-03-09 00:00:00+00:00,32.28,2.0
2017-03-10 00:00:00+00:00,32.39,6.0
2017-03-13 00:00:00+00:00,32.4,5.0
2017-03-14 00:00:00+00:00,32.36,12.0
2017-03-15 00:00:00+00:00,32.7,54.0
2017-03-16 00:00:00+00:00,32.75,18.0
2017-03-17 00:00:00+00:00,32.59,0.0
2017-03-20 00:00:00+00:00,32.93,72.0
2017-03-21 00:00:00+00:00,32.55,36.0
2017-03-22 00:00:00+00:00,32.92,19.0
2017-03-23 00:00:00+00:00,32.8,8.0
2017-03-24 00:00:00+00:00,32.74,-2.0
2017-03-27 00:00:00+00:00,32.8,11.0
2017-03-28 00:00:00+00:00,33.47,2.0
2017-03-29 00:00:00+00:00,33.55,50.0
2017-03-30 00:00:00+00:00,33.51,27.0
2017-03-31 00:00:00+00:00,33.44,8.0
2017-04-03 00:00:00+00:00,33.45,0.0
2017-04-04 00:00:00+00:00,33.7,21.0
2017-04-05 00:00:00+00:00,33.53,1.0
2017-04-06 00:00:00+00:00,33.44,-51.0
2017-04-07 00:00:00+00:00,33.37,-1.0
2017-04-10 00:00:00+00:00,33.33,-5.0
2017-04-11 00:00:00+00:00,32.97,-44.0
2017-04-12 00:00:00+00:00,33.01,-9.0
2017-04-13 00:00:00+00:00,32.83,-6.0
2017-04-17 00:00:00+00:00,33.02,9.0
2017-04-18 00:00:00+00:00,32.87,-7.0
2017-04-19 00:00:00+00:00,32.75,-6.0
2017-04-20 00:00:00+00:00,33.16,26.0
2017-04-21 00:00:00+00:00,33.12,13.0
2017-04-24 00:00:00+00:00,33.44,13.0
2017-04-25 00:00:00+00:00,33.64,28.0
2017-04-26 00:00:00+00:00,33.45,1.0
2017-04-27 00:00:00+00:00,33.47,12.0
2017-04-28 00:00:00+00:00,33.44,-10.0
2017-05-01 00:00:00+00:00,34.12,82.0
2017-05-02 00:00:00+00:00,34.34,-137.0
2017-05-03 00:00:00+00:00,34.23,-4.0
2017-05-04 00:00:00+00:00,34.11,-11.0
2017-05-05 00:00:00+00:00,34.68,43.0
2017-05-08 00:00:00+00:00,35.62,199.0
2017-05-09 00:00:00+00:00,35.85,80.0
2017-05-10 00:00:00+00:00,35.68,2.0
2017-05-11 00:00:00+00:00,35.99,37.0
2017-05-12 00:00:00+00:00,36.49,84.0
2017-05-15 00:00:00+00:00,36.39,12.0
2017-05-16 00:00:00+00:00,36.34,15.0
2017-05-17 00:00:00+00:00,35.12,-12.0
2017-05-18 00:00:00+00:00,35.66,14.0
2017-05-19 00:00:00+00:00,35.78,-4.0
2017-05-22 00:00:00+00:00,35.99,17.0
2017-05-23 00:00:00+00:00,35.95,17.0
2017-05-24 00:00:00+00:00,35.84,-30.0
2017-05-25 00:00:00+00:00,35.97,7.0
2017-05-26 00:00:00+00:00,35.91,-1.0
2017-05-30 00:00:00+00:00,35.92,26.0
2017-05-31 00:00:00+00:00,35.71,1.0
2017-06-01 00:00:00+00:00,35.81,11.0
2017-06-02 00:00:00+00:00,36.34,21.0
2017-06-05 00:00:00+00:00,35.98,-31.0
2017-06-06 00:00:00+00:00,36.1,23.0
2017-06-07 00:00:00+00:00,36.32,13.0
2017-06-08 00:00:00+00:00,36.23,3.0
2017-06-09 00:00:00+00:00,34.82,-144.0
2017-06-12 00:00:00+00:00,33.99,-113.0
2017-06-13 00:00:00+00:00,34.27,-20.0
2017-06-14 00:00:00+00:00,33.93,-26.0
2017-06-15 00:00:00+00:00,33.73,-40.0
2017-06-16 00:00:00+00:00,33.26,-23.0
2017-06-19 00:00:00+00:00,34.21,13.0
2017-06-20 00:00:00+00:00,33.9,4.0
2017-06-21 00:00:00+00:00,34.1,0.0
2017-06-22 00:00:00+00:00,34.04,6.0
2017-06-23 00:00:00+00:00,34.19,4.0
2017-06-26 00:00:00+00:00,34.09,13.0
2017-06-27 00:00:00+00:00,33.6,-30.0
2017-06-28 00:00:00+00:00,34.09,13.0
2017-06-29 00:00:00+00:00,33.58,13.0
2017-06-30 00:00:00+00:00,33.66,11.0
2017-07-03 00:00:00+00:00,33.54,17.0
2017-07-05 00:00:00+00:00,33.68,2.0
